DATA,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Vento classe
1992-09-20,1.4,4.1,E,360,30,M00000
1992-09-21,1.4,7.0,WSW,340,30,M00000
1992-09-22,2.5,10.7,E,450,40,M00000
1992-09-23,1.1,5.7,E,230,160,M00000
1992-09-24,1.8,4.4,E,390,20,M00000
1992-09-25,1.9,6.9,E,400,0,M00000
1992-09-26,2.0,7.4,ENE,400,20,M00000
1992-09-27,2.4,9.9,ENE,470,10,M00000
1992-09-28,1.4,10.6,E,320,60,M00000
1992-09-29,3.1,11.0,WSW,320,10,M00000
1992-09-30,2.1,7.7,ENE,260,10,M00000
1992-10-01,2.0,4.2,E,530,20,M*****
1992-10-02,1.2,5.0,E,230,80,M00000
1992-10-03,0.9,4.8,WSW,240,240,M00000
1992-10-04,0.7,8.2,N,200,210,M00000
1992-10-05,0.9,7.3,E,220,290,M00000
1992-10-06,0.9,4.6,E,370,110,M00000
1992-10-07,0.9,4.1,E,330,80,M00000
1992-10-08,1.4,6.2,ENE,260,50,M00000
1992-10-09,1.1,6.9,ESE,310,80,M00000
1992-10-10,1.2,5.5,E,320,70,M00000
1992-10-11,1.3,3.5,E,340,60,M00000
1992-10-12,1.7,4.9,E,410,30,M00000
1992-10-13,1.4,6.4,E,360,20,M00000
1992-10-14,2.0,4.7,ESE,350,0,M00000
1992-10-15,2.1,8.7,W,250,40,M00000
1992-10-16,1.7,7.6,WSW,210,60,M00000
1992-10-17,1.6,9.4,SW,340,270,M00000
1992-10-18,5.6,16.1,WSW,560,0,M00000
1992-10-19,1.1,8.6,E,340,200,M00000
1992-10-20,1.2,6.8,SSE,230,290,M00000
1992-10-21,3.8,14.4,W,310,10,M*****
1992-10-22,3.1,11.4,WSW,370,0,M00000
1992-10-23,3.8,14.6,W,570,0,M00000
1992-10-24,5.8,16.7,W,990,0,M00000
1992-10-25,5.4,15.0,W,640,0,M*****
1992-10-26,5.3,16.9,WSW,440,20,M00000
1992-10-27,1.6,6.9,N,190,10,M00000
1992-10-28,2.7,10.0,SSW,340,10,M00000
1992-10-29,3.7,10.5,SW,420,0,M00000
1992-10-30,0.8,4.8,SW,210,100,M00000
1992-10-31,1.5,7.8,ESE,280,70,M00000
1992-11-01,1.1,5.3,E,180,90,M00000
1992-11-02,1.5,4.4,E,590,90,M00000
1992-11-03,3.8,11.9,SW,550,0,M00000
1992-11-04,3.0,11.2,ENE,340,10,M00000
1992-11-05,2.2,6.0,E,680,10,M00000
1992-11-06,3.0,5.5,E,740,10,M00000
1992-11-07,3.2,9.9,S,240,0,M00000
1992-11-08,2.4,9.0,E,460,0,M00000
1992-11-09,1.4,4.9,E,310,50,M00000
1992-11-10,3.6,13.9,SW,670,10,M00000
1992-11-11,5.2,15.0,SW,670,0,M00000
1992-11-12,7.1,23.4,W,1100,0,M00000
1992-11-13,3.8,18.0,SW,290,0,M00000
1992-11-14,3.2,11.6,WSW,330,0,M00000
1992-11-15,1.2,7.5,SW,230,190,M00000
1992-11-16,2.4,9.8,SSW,460,160,M00000
1992-11-17,5.1,14.5,WSW,450,0,M00000
1992-11-18,4.3,13.4,SW,580,10,M00000
1992-11-19,5.6,15.3,SW,450,0,M00000
1992-11-20,5.8,16.2,WSW,610,0,M00000
1992-11-21,6.1,18.9,WSW,730,0,M00000
